2007-01-30 21:56:45:27,19.186,-64.511,48.2,3.4
2007-01-31 02:08:53:02,18.929,-67.193,9.1,3.1
2007-01-31 07:24:48:97,18.013,-65.448,14.6,3
2007-01-31 18:39:58:61,19.162,-68.907,128.3,3.7
2007-01-31 21:13:44:35,19.071,-66.438,25.1,2.8
2007-02-02 05:54:12:12,18.014,-68.171,140.9,3.3
2007-02-02 07:55:46:10,18.56,-66.532,81.8,2.7
2007-02-02 16:15:59:52,18.553,-66.361,77.3,2.7
2007-02-02 23:33:33:28,18.122,-67.989,103.8,3.2
2007-02-03 06:55:08:66,17.815,-65.657,9.9,2.2
2007-02-04 10:24:32:92,19.59,-65.299,55,3.4
2007-02-04 11:33:17:68,18.626,-66.615,70.3,2.9
2007-02-04 17:26:59:35,17.985,-67.416,151,3.1
2007-02-04 20:08:42:21,18.298,-67.011,22.5,2.1
2007-02-04 21:48:42:73,18.751,-65.67,56.2,3
2007-02-05 03:05:08:43,19.791,-68.982,25.2,3.6
2007-02-06 01:40:13:91,18.376,-66.19,115,3
2007-02-06 07:43:25:78,18.214,-66.055,73.7,2.7
2007-02-06 20:15:05:44,18.675,-64.308,39.7,2.9
2007-02-06 23:34:23:04,18.594,-64.749,123.7,3.2
2007-02-07 05:30:28:40,18.08,-66.074,5.8,1.9
2007-02-07 08:14:29:12,19.104,-66.899,24.8,2.8
2007-02-07 12:27:19:13,18.088,-66.544,18.3,2.1
2007-02-08 06:12:49:54,18.229,-66.999,13.4,2.4
2007-02-08 09:28:43:65,17.892,-65.673,5.9,2.3
2007-02-08 09:42:04:96,19.479,-65.387,73.2,3.1
2007-02-08 12:46:22:88,19.131,-66.955,23.9,2.9
2007-02-08 13:39:12:35,18.677,-64.89,62.3,3.1
2007-02-08 16:14:46:28,17.808,-65.697,14.1,2.2
2007-02-08 17:09:05:73,17.811,-65.701,14.6,2.1
2007-02-09 00:51:56:05,18.067,-66.95,19.6,2.2
2007-02-09 06:44:57:66,18.07,-66.076,4.6,2.6
2007-02-09 07:18:22:29,18.568,-65.033,20.3,2.5
2007-02-09 07:39:52:93,18.372,-64.514,43.4,3.2
2007-02-09 07:41:50:67,18.561,-65.031,20.6,2.4
2007-02-09 08:41:48:40,19.472,-66.253,20.2,3.4
2007-02-09 09:00:10:72,18.918,-64.804,7.4,3
2007-02-09 09:01:42:73,18.049,-66.087,7.4,2.9
2007-02-09 09:47:21:38,18.071,-66.076,4.9,2.3
2007-02-09 12:02:17:82,18.218,-68.182,76.7,3.5
2007-02-09 16:47:40:32,18.3,-67.161,72.5,2.4
2007-02-09 18:10:22:11,18.618,-66.856,12.6,2.4
2007-02-09 21:56:31:43,18.154,-68.023,104.9,3.1
2007-02-10 00:29:27:89,18.552,-65.036,26.7,2.9
2007-02-10 01:23:31:68,17.957,-65.824,11.3,2.6
2007-02-10 09:29:16:22,18.979,-64.405,85.1,3.2
2007-02-10 09:43:40:15,18.818,-64.876,18.9,2.9
2007-02-10 17:40:01:27,19.452,-67.6,14.7,3.2
2007-02-10 19:31:04:70,18.076,-66.07,2.6,1.5
2007-02-10 19:57:25:77,17.653,-68.891,146,3.7
2007-02-11 02:18:21:38,17.73,-65.631,21.4,2.2
2007-02-11 06:20:34:83,19.311,-64.23,25.3,3
